upm;nvivi;nhoga;dpto;area;año;e01aimde;e01bimde;e01cimde;e01dde;e01ede;e01fde;e02tde;e01hide;e01ide;e01jde;e01kjde;e01hde;e01kde;e01lde;v19ede;ingrevasode;ingrealmuerzode;v21gde;totpers;ingrem;ipcm;linpobto;linpobex;pobrezai;pobnopoi;fex.2022;facpob;p0pobtot;p1pobtot;p2pobtot;p0pobext;p1pobext;p2pobext;ipcmdefg;quintili;decili;quintiai;decilai
116;39;1;0;1;2023;15470184,8998459;0;0;0;0;0;0;0;0;0;0;0;0;0;2956086,28659475;0;0;2463405,23882896;6;18220987,4165382;3036831,2360897;853778;359480;3;0;209,641518313;1257,849109878;0; ;0;0; ;0;3036831,2360897;5;9;5;9
116;48;1;0;1;2023;0;0;0;0;0;492681,047765792;0;0;0;0;0;0;591217,257318951;0;1345022,52319325;0;0;0;1;2428920,82827799;2428920,82827799;853778;359480;3;0;170,23909358;170,23909358;0; ;0;0; ;0;2428920,82827799;4;8;4;8
116;61;1;0;1;2023;8868258,85978426;1970724,19106317;0;0;0;0;0;615851,30970724;0;0;0;0;0;0;3448767,33436055;0;0;0;4;14903601,6949152;3725900,4237288;853778;359480;3;0;174,62193277;698,48773108;0; ;0;0; ;0;3725900,4237288;5;10;5;9
131;10;1;0;1;2023;15416260,2875215;0;0;0;0;0;0;5732766,61514681;0;0;0;0;0;0;4942040,18547139;0;0;6918856,25965995;4;25514495,7331681;6378623,93329202;853778;359480;3;0;325,595271234;1302,381084936;0; ;0;0; ;0;6378623,93329202;5;10;5;10
131;51;1;0;1;2023;9884080,37094278;1482612,05564142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11366692,4265842;2841673,10664605;853778;359480;3;0;365,242482299;1460,969929196;0; ;0;0; ;0;2841673,10664605;5;9;4;8
131;58;1;0;1;2023;7907264,29675423;0;0;0;0;0;0;1779134,4667697;0;0;0;0;0;0;0;0;0;0;5;9686398,76352393;1937279,75270479;853778;359480;3;0;362,232827354;1811,16413677;0; ;0;0; ;0;1937279,75270479;4;7;4;7
146;16;1;0;1;2023;21133904,9103663;0;0;0;0;0;0;0;0;0;0;0;0;0;4984411,53546376;0;0;0;3;26118316,4458301;8706105,48194336;853778;359480;3;0;97,698005134;293,094015402;0; ;0;0; ;0;8706105,48194336;5;10;5;10
146;17;1;0;1;2023;13956352,2992985;0;0;0;0;0;0;4984411,53546376;0;0;0;0;0;0;2990646,92127825;0;0;598129,384255651;3;21881566,6406859;7293855,5468953;853778;359480;3;0;99,843128774;299,529386322;0; ;0;0; ;0;7293855,5468953;5;10;5;10
146;22;1;0;1;2023;7476617,30319563;4984411,53546376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;12461028,8386594;4153676,27955313;853778;359480;3;0;93,538783382;280,616350146;0; ;0;0; ;0;4153676,27955313;5;10;5;10
146;23;1;0;1;2023;0;0;0;0;0;0;0;1495323,46063913;0;8473499,61028839;0;0;0;0;6978176,14964926;0;0;5981293,84255651;2;16448558,0670304;8224279,0335152;853778;359480;3;0;83,661628095;167,32325619;0; ;0;0; ;0;8224279,0335152;5;10;5;10
146;41;1;0;1;2023;5682229,15042868;0;0;0;0;0;0;0;0;0;0;0;0;0;5981293,84255651;0;0;0;5;11663522,9929852;2332704,59859704;853778;359480;3;0;89,122031892;445,61015946;0; ;0;0; ;0;2332704,59859704;4;8;4;8
146;44;1;0;1;2023;7975058,45674201;0;0;0;0;0;0;0;0;0;0;0;0;0;1993764,6141855;0;0;0;2;9968823,07092751;4984411,53546376;853778;359480;3;0;77,970172044;155,940344088;0; ;0;0; ;0;4984411,53546376;5;10;5;10
146;48;1;0;1;2023;0;0;0;0;0;0;0;0;0;1495323,46063913;0;0;0;0;1993764,6141855;0;0;0;1;3489088,07482463;3489088,07482463;853778;359480;3;0;71,884550074;71,884550074;0; ;0;0; ;0;3489088,07482463;5;9;5;9
146;56;1;0;1;2023;9968823,07092751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9968823,07092751;9968823,07092751;853778;359480;3;0;99,508419096;99,508419096;0; ;0;0; ;0;9968823,07092751;5;10;5;10
146;59;1;0;1;2023;7476617,30319563;0;0;0;0;0;0;0;0;0;0;0;618067,030397506;0;2990646,92127825;0;0;0;5;11085331,2548714;2217066,25097428;853778;359480;3;0;99,41493436;497,0746718;0; ;0;0; ;0;2217066,25097428;4;8;4;7
161;9;1;0;1;2023;7954160,22405547;0;0;0;0;0;0;0;0;0;0;0;0;0;1993764,6141855;60008;253613;6978176,14964926;4;9680031,15910353;2420007,78977588;853778;359480;3;0;114,279145376;457,116581504;0; ;0;0; ;0;2420007,78977588;4;8;4;8
161;15;1;0;1;2023;12461028,8386594;0;0;0;0;0;0;2252954,01402962;0;0;0;0;0;0;996882,307092751;120016;507226;0;13;16338107,1597818;1256777,47382937;853778;359480;3;0;106,779865078;1388,138246014;0; ;0;0; ;0;1256777,47382937;3;5;2;4
